id,perlakuan,tinggi_cm
Ko01,Kontrol,22.082069504892825
Ko02,Kontrol,21.025081172645436
Ko03,Kontrol,25.90049178615498
Ko04,Kontrol,21.216578520071312
Ko05,Kontrol,22.66586684176326
Ko06,Kontrol,20.656804108476624
Ko07,Kontrol,18.757455862914348
Ko08,Kontrol,22.810487052772526
Ko09,Kontrol,22.197706401282495
Ko10,Kontrol,22.990981762715005
Pu01,Pupuk_A,25.572679542628382
Pu02,Pupuk_A,28.40766302453887
Pu03,Pupuk_A,27.574102884547354
Pu04,Pupuk_A,29.3396029914385
Pu05,Pupuk_A,25.959344604504142
Pu06,Pupuk_A,28.250153050578497
Pu07,Pupuk_A,28.40310186644143
Pu08,Pupuk_A,31.004896832326942
Pu09,Pupuk_A,24.750360926641537
Pu10,Pupuk_A,27.02570114811963
Pu01,Pupuk_B,28.098557824288193
Pu02,Pupuk_B,26.102508646153787
Pu03,Pupuk_B,31.7537079348565
Pu04,Pupuk_B,28.196694244395562
Pu05,Pupuk_B,27.792550965861743
Pu06,Pupuk_B,28.428189214449826
Pu07,Pupuk_B,28.836760989901123
Pu08,Pupuk_B,28.48075327917128
Pu09,Pupuk_B,31.946993027441195
Pu10,Pupuk_B,25.360152636134664
Pu01,Pupuk_C,33.45480106752917
Pu02,Pupuk_C,32.278706944714344
Pu03,Pupuk_C,35.73248487060716
Pu04,Pupuk_C,32.31881093389198
Pu05,Pupuk_C,38.80373518876581
Pu06,Pupuk_C,33.5291032968731
Pu07,Pupuk_C,36.528319841920066
Pu08,Pupuk_C,35.97400336393003
Pu09,Pupuk_C,32.4849048355954
Pu10,Pupuk_C,36.67261150749447
